nombreapellidos,partido,eleccion,year,url,nombres,apellido_paterno,apellido_materno,profesion,nacimiento,lugar_nacimiento,fallecimiento,religion,casado_dummy,cantidad_hijos
LUIS LEBLANC VALENZUELA,DC,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Leblanc_Valenzuela,Luis Enrique,Leblanc,Valenzuela,Asistente Social,12 de Abril de 1950,Santiago,19 de Agosto de 2017,,1,tres
CARLOS VALCARCE MEDINA,RN,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Valcarce_Medina,Carlos Raúl,Valcarce,Medina,Ingeniero Comercial,26 de Abril de 1950,Arica,,,1,0
VLADISLAV KUZMICIC CALDERON,PPD,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Vladislav_Kuzmicic_Calderón,Vladislav,Kuzmicic,Calderón,Médico cardiólogo,23 de Octubre de 1945,Iquique,,,1,0
RAMON PEREZ OPAZO,ILB,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_Segundo_Pérez_Opazo,Ramón Segundo,Pérez,Opazo,Perito Dactiloscópico,3 de Diciembre de 1933,Iquique,12 de Junio de 2005,,1,seis
FELIPE VALENZUELA HERRERA,PPD,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Felipe_Valenzuela_Herrera,Felipe Ignacio,Valenzuela,Herrera,"Profesor Normalista, Abogado",8 de Octubre de 1941,Arica,,,1,cuatro
RUBEN GAJARDO CHACON,DC,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rubén_Gajardo_Chacón,Rubén,Gajardo,Chacón,Abogado,26 de Abril de 1936,Valparaíso,,,1,una
NICANOR ARAYA,ILA,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Nicanor_De_la_Cruz_Araya,Nicanor,Araya,,Minero,4 de Marzo de 1938,Combarbalá,,,1,0
ARMANDO ARANCIBIA CALDERON,PPD,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Armando_Arancibia_Calderón,Armando,Arancibia,Calderón,Abogado,6 de Enero de 1941,Santiago,24 de Febrero de 2016,,1,6
BALDO PROKURICA PROKURICA,RN,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Baldo_Prokurica_Prokurica,Baldo,Prokurica,Prokurica,Abogado,2 de Julio de 1958,Vallenar,,,1,dos
CARLOS VILCHES GUZMAN,RN,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Alfredo_Vilches_Guzmán,Carlos Alfredo,Vilches,Guzmán,Ingeniero en metalurgia,20 de Octubre de 1944,Santiago,,,1,tres
JOAQUIN PALMA IRARRAZAVAL,DC,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Joaquín_Salvador_José_María_Antonio_Palma_Irarrázaval,Joaquín Salvador José María Antonio,Palma,Irarrázaval,Ingeniero Civil,2 de Febrero de 1943,La Serena,17 de Agosto de 2013,,0,0
EUGENIO MUNIZAGA RODRIGUEZ,RN,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eugenio_Munizaga_Rodríguez,Eugenio Fernando,Munizaga,Rodríguez,,6 de Abril de 1941,La Serena,11 de Mayo de 2018,,1,tres
JULIO ROJOS ASTORGA,DC,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Julio_Rojos_Astorga,Julio,Rojos,Astorga,Técnico Agrícola,13 de Enero de 1953,Los Vilos,,,1,0
JORGE PIZARRO SOTO,DC,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Pizarro_Soto,Jorge,Pizarro,Soto,,21 de Abril de 1952,Ovalle,,,0,cinco
JORGE MORALES ADRIASOLA,RN,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Morales_Adriasola,Jorge,Morales,Adriasola,Médico cirujano,2 de Octubre de 1931,Ancud,04 de Octubre de 2019,,1,una
SERGIO VELASCO DE LA CERDA,DC,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Velasco_de_la_Cerda,Sergio,Velasco,de la Cerda,,21 de Noviembre de 1945,San Antonio,,,1,tres
FEDERICO RINGELING HUNGER,RN,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Federico_Ringeling_Hunger,Federico José Miguel,Ringeling,Hunger,Abogado,8 de Julio de 1954,Santiago,,,1,tres
SERGIO JARA CATALAN,DC,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Jara_Catalán,Sergio Raúl,Jara,Catalán,Abogado,9 de Octubre de 1946,Los Angeles,,,1,0
CLAUDIO RODRIGUEZ CATALDO,RN,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Claudio_Rodríguez_Cataldo,Claudio,Rodríguez,Cataldo,,28 de Septiembre de 1954,San Felipe,,,1,tres
ALDO CORNEJO GONZALEZ,DC,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Aldo_Cornejo_González,Aldo,Cornejo,González,Abogado,19 de Abril de 1955,Curicó,,Católica,1,cuatro
JORGE MOLINA VALDIVIESO,PPD,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Molina_Valdivieso,Jorge,Molina,Valdivieso,Abogado,16 de Febrero de 1932,Talcahuano,,,1,0
ARTURO LONGTON GUERRERO,RN,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Arturo_Longton_Guerrero,Arturo,Longton,Guerrero,Abogado,25 de Junio de 1948,Limache,03 de Julio de 2015,,1,tres
RAUL URRUTIA AVILA,RN,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Raúl_Urrutia_Ávila,Raúl,Urrutia,Ávila,Abogado,1 de Mayo de 1950,Viña del Mar,,,1,0
HUGO RODRIGUEZ GUERRERO,DC,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hugo_Rodríguez_Guerrero,Hugo,Rodríguez,Guerrero,,17 de Julio de 1937,Viña del Mar,06 de Junio de 2003,,1,0
JUAN MASFERRER PELLIZZARI,ILB,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Masferrer_Pellizzari,Juan Alfonso Manuel,Masferrer,Pellizzari,Técnico en Motores a Reacción,19 de Noviembre de 1940,Angol,28 de Diciembre de 2017,,0,0
ANDRES CHADWICK PINERA,UDI,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Pío_Bernardino_Chadwick_Piñera,Andrés Pío Bernardino,Chadwick,Piñera,Abogado,2 de Enero de 1956,Santiago,,,1,cuatro
FEDERICO MEKIS MARTINEZ,RN,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Federico_Mekis_Martínez,Federico Andrés,Mekis,Martínez,Abogado,14 de Agosto de 1954,,,,1,0
MANUEL MATTA ARAGAY,DC,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_José_Ramón_Matta_Aragay,Manuel José Ramón,Matta,Aragay,Abogado,10 de Noviembre de 1946,Talca,,,1,tres
JAIME NARANJO ORTIZ,ILA,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Naranjo_Ortiz,Jaime,Naranjo,Ortiz,Magíster en Economía Agraria,12 de Enero de 1951,Melipilla,,,1,cinco
LUIS NAVARRETE CARVACHO,ILB,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Navarrete_Carvacho,Luis Osvaldo,Navarrete,Carvacho,,27 de Septiembre de 1925,"Pocuro, Los Andes",30 de Noviembre de 2006,,1,dos
JAIME CAMPOS QUIROGA,PR,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Campos_Quiroga,Jaime,Campos,Quiroga,Abogado,16 de Febrero de 1953,Constitución,,,1,0
SERGIO CORREA DE LA CERDA,UDI,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Correa_de_la_Cerda,Sergio,Correa,de la Cerda,Agricultor,12 de Mayo de 1938,Curicó,,,0,0
SERGIO AGUILO MELO,ILA,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Aguiló_Melo,Sergio,Aguiló,Melo,Ingeniero Comercial,9 de Febrero de 1953,Santiago,,,1,tres
EUGENIO ORTEGA RIQUELME,DC,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eugenio_Ortega_Riquelme,Eugenio,Ortega,Riquelme,Sociólogo,14 de Junio de 1940,Constitución,27 de Septiembre de 2013,,1,tres
OCTAVIO JARA WOLFF,PPD,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Octavio_Jara_Wolff,Octavio,Jara,Wolff,Abogado,22 de Julio de 1944,Los Ángeles,30 de Diciembre de 2001,,1,dos
VICTOR PEREZ VARELA,ILB,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Pérez_Varela,Víctor José,Pérez,Varela,Abogado,18 de Octubre de 1954,Santiago,,,1,0
JAIME ROCHA MANRIQUE,PR,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Rocha_Manrique,Jaime,Rocha,Manrique,Abogado,4 de Noviembre de 1938,Lebu,1 de Octubre de 2012,,1,tres
ISIDORO TOHA GONZALEZ,ILA,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Isidoro_Tohá_González,Isidoro,Tohá,González,Médico Cirujano,24 de Enero de 1930,Chillán,16 de Junio de 2007,,1,0
EDMUNDO SALAS DE LA FUENTE,DC,diputados,1990,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Edmundo_Salas_de_La_Fuente,Edmundo,Salas,de La Fuente,Relacionador Público,9 de Septiembre de 1936,Lota,,,1,siete
