deputyid,distrito,partido,pacto,tendencia,nombre,year,region
1000,1,PS,NUEVA MAYORIA,0,LUIS ALBERTO ROCAFULL LOPEZ,2014,15
991,1,PL,PL,0,VLADO MIROSEVIC VERDUGO,2014,15
991,1,PL,PL,0,VLADO MIROSEVIC VERDUGO,2015,15
1000,1,PS,NUEVA MAYORIA,0,LUIS ALBERTO ROCAFULL LOPEZ,2015,15
991,1,PL,PL,0,VLADO MIROSEVIC VERDUGO,2016,15
1000,1,PS,NUEVA MAYORIA,0,LUIS ALBERTO ROCAFULL LOPEZ,2016,15
991,1,PL,PL,0,VLADO MIROSEVIC VERDUGO,2017,15
1000,1,PS,NUEVA MAYORIA,0,LUIS ALBERTO ROCAFULL LOPEZ,2017,15
991,1,PL,PL,0,VLADO MIROSEVIC VERDUGO,2018,15
926,1,UDI,CHILE VAMOS,1,NINO BALTOLU RASERA,2018,15
1000,1,PS,NUEVA MAYORIA,0,LUIS ROCAFULL LOPEZ,2018,15
991,1,PL,PL,0,VLADO MIROSEVIC VERDUGO,2019,15
926,1,UDI,CHILE VAMOS,1,NINO BALTOLU RASERA,2019,15
1000,1,PS,NUEVA MAYORIA,0,LUIS ROCAFULL LOPEZ,2019,15
1000,1,PS,NUEVA MAYORIA,0,LUIS ROCAFULL LOPEZ,2020,15
991,1,PL,PL,0,VLADO MIROSEVIC VERDUGO,2020,15
926,1,UDI,CHILE VAMOS,1,NINO BALTOLU RASERA,2020,15
1000,1,PS,NUEVA MAYORIA,0,LUIS ROCAFULL LOPEZ,2021,15
926,1,UDI,CHILE VAMOS,1,NINO BALTOLU RASERA,2021,15
991,1,PL,PL,0,VLADO MIROSEVIC VERDUGO,2021,15
1141,1,PL,PL,0,Luis Malla Valenzuela,2022,15
991,1,PL,PL,0,Vlado Mirosevic Verdugo,2022,15
1139,1,PRI,CHILE VAMOS,1,Enrique Lee Flores,2022,15
991,1,PL,PL,0,Vlado Mirosevic Verdugo,2023,15
1139,1,PRI,CHILE VAMOS,1,Enrique Lee Flores,2023,15
1141,1,PL,PL,0,Luis Malla Valenzuela,2023,15
1141,1,PL,PL,0,Luis Malla Valenzuela,2024,15
991,1,PL,PL,0,Vlado Mirosevic Verdugo,2024,15
1139,1,PRI,CHILE VAMOS,1,Enrique Lee Flores,2024,15
937,2,PC,NUEVA MAYORIA,0,HUGO HUMBERTO GUTIERREZ GALVEZ,2014,1
1003,2,UDI,CHILE VAMOS,1,RENZO ALDO TRISOTTI MARTINEZ,2014,1
1003,2,UDI,CHILE VAMOS,1,RENZO ALDO TRISOTTI MARTINEZ,2015,1
937,2,PC,NUEVA MAYORIA,0,HUGO HUMBERTO GUTIERREZ GALVEZ,2015,1
937,2,PC,NUEVA MAYORIA,0,HUGO HUMBERTO GUTIERREZ GALVEZ,2016,1
1003,2,UDI,CHILE VAMOS,1,RENZO ALDO TRISOTTI MARTINEZ,2016,1
1003,2,UDI,CHILE VAMOS,1,RENZO ALDO TRISOTTI MARTINEZ,2017,1
937,2,PC,NUEVA MAYORIA,0,HUGO HUMBERTO GUTIERREZ GALVEZ,2017,1
1032,2,RN,CHILE VAMOS,1,RAMON GALLEGUILLOS CASTILLO,2018,1
937,2,PC,NUEVA MAYORIA,0,HUGO GUTIERREZ GALVEZ,2018,1
1003,2,UDI,CHILE VAMOS,1,RENZO TRISOTTI MARTINEZ,2018,1
1032,2,RN,CHILE VAMOS,1,RAMON GALLEGUILLOS CASTILLO,2019,1
1003,2,UDI,CHILE VAMOS,1,RENZO TRISOTTI MARTINEZ,2019,1
937,2,PC,NUEVA MAYORIA,0,HUGO GUTIERREZ GALVEZ,2019,1
937,2,PC,NUEVA MAYORIA,0,HUGO GUTIERREZ GALVEZ,2020,1
1032,2,RN,CHILE VAMOS,1,RAMON GALLEGUILLOS CASTILLO,2020,1
1003,2,UDI,CHILE VAMOS,1,RENZO TRISOTTI MARTINEZ,2020,1
1003,2,UDI,CHILE VAMOS,1,RENZO TRISOTTI MARTINEZ,2021,1
937,2,PC,NUEVA MAYORIA,0,HUGO GUTIERREZ GALVEZ,2021,1
1032,2,RN,CHILE VAMOS,1,RAMON GALLEGUILLOS CASTILLO,2021,1
1162,2,PC,FRENTE AMPLIO,0,Matías Ramírez Pascal,2022,1
1003,2,IND,FRENTE SOCIAL CRISTIANO,1,Renzo Trisotti Martínez,2022,1
1103,2,PS,NUEVA MAYORIA,0,Danisa Astudillo Peiretti,2022,1
1162,2,PC,FRENTE AMPLIO,0,Matías Ramírez Pascal,2023,1
1103,2,PS,NUEVA MAYORIA,0,Danisa Astudillo Peiretti,2023,1
1003,2,IND,FRENTE SOCIAL CRISTIANO,1,Renzo Trisotti Martínez,2023,1
1003,2,IND,FRENTE SOCIAL CRISTIANO,1,Renzo Trisotti Martínez,2024,1
