url,nombre1
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcos_Aurelio_Aburto_Ochoa,Aburto Ochoa Marcos Aurelio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Enrique_Accorsi_Opazo,Accorsi Opazo Enrique
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Candelaria_Acevedo_Sáez,Acevedo Saez María Candelaria
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mario_Alberto_Acuña_Cisternas,Acuña Cisternas Mario Alberto
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eric_Aedo_Jeldres,Aedo Jeldres Eric Mariano
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/René_Aedo_Ormeño,Aedo Ormeño René Augusto
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Aguiló_Melo,Aguiló Melo Sergio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Yovana_Ahumada_Palma,Ahumada Palma Yovana Alejandra
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Raúl_Florcita_Alarcón_Rojas,Alarcón Rojas Raúl Florcita
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gustavo_Alessandri_Balmaceda,Alessandri Balmaceda Gustavo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Iván_Alessandri_Vergara,Alessandri Vergara Jorge Iván
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/René_Alinco_Bustos,Alinco Bustos René
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Allamand_Zavala,Allamand Zavala Andrés
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Isabel_Allende_Bussi,Allende Bussi María Isabel
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Claudio_Alvarado_Andrade,Alvarado Andrade Claudio Patricio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Miguel_Ángel_Alvarado_Ramírez,Alvarado Ramírez Miguel Ángel
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sebastián_Diego_Álvarez_Ramírez,Álvarez Ramírez Sebastián Diego
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Pablo_Álvarez-Salamanca_Büchi,Álvarez Salamanca Büchi Pedro Pablo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Pablo_Álvarez-Salamanca_Ramírez,"Álvarez Salamanca Ramírez, Pedro Pablo"
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jenny_Paola_Álvarez_Vera,Álvarez Vera Jenny Paola
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rodrigo_Alvarez_Zenteno,Álvarez Zenteno Rodrigo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Soledad_Alvear_Valenzuela,Alvear Valenzuela María Soledad
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sandra_Haydée_Amar_Mancilla,Amar Mancilla Sandra Haydée
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Osvaldo_Raúl_Andrade_Lara,Andrade Lara Osvaldo Raúl
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Armando_Arancibia_Calderón,Arancibia Calderón Armando
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Patricio_Arancibia_Reyes,Arancibia Reyes Jorge Patricio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carmen_Gloria_Aravena_Acuña,Aravena Acuña Carmen Gloria
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Nicanor_De_la_Cruz_Araya,Araya  Nicanor
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Araya_Guerrero,Araya Guerrero Jaime Rafael Ricardo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Araya_Guerrero,Araya Guerrero Pedro
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Cristián_Araya_Lerdo_de_Tejada,Araya Lerdo de Tejada Cristián Andrés
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mónica_Arce_Castro,Arce Castro Monica Tamara
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gonzalo_Arenas_Hödar,Arenas Hodar Gonzalo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rafael_Arratia_Valdebenito,Arratia Valdebenito Rafael
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Claudio_Eugenio_Arriagada_Macaya,Arriagada Macaya Claudio Eugenio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Roberto_Arroyo_Muñoz,Arroyo Muñoz Roberto Enrique
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gabriel_Ascencio_Mansilla,Ascencio Mansilla Gabriel
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Danisa_Astudillo_Peiretti,Astudillo Pieretti Danisa Alejandra
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pepe_Auth_Stewart,Auth Stewart Pepe
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Nelson_Jaime_Ávila_Contreras,Ávila Contreras Nelson Jaime
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mariana_Aylwin_Oyarzún,Aylwin Oyarzún Mariana
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ignacio_Balbontín_Arteaga,Balbontín Arteaga Ignacio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Nino_Baltolu_Rasera,Baltolu Rasera Nino
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Chiara_Barchiesi_Chávez,Barchiesi Chávez Chiara Natalia
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Boris_Anthony_Barrera_Moreno,Barrera Moreno Boris Anthony
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_José_Barros_Montero,Barros Montero Ramón  José
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Héctor_Barría_Angulo,Barría Angulo Héctor
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Bartolucci_Johnston,Bartolucci Johnston Mario Francisco
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eugenio_Bauer_Jouanne,Bauer Jouanne Eugenio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Leandro_Bayo_Veloso,Bayo Veloso Francisco Leandro
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Germán_Becker_Alvear,Becker Alvear Germán
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Miguel_Becker_Alvear,Becker Alvear Miguel
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Francisca_Bello_Campos,Bello Campos María Francisca
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Andrés_Bellolio_Avaria,Bellolio Avaria Jaime Andrés
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Beltrán_Silva,Beltrán Silva Juan Carlos
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gustavo_Benavente_Vergara,Benavente Vergara Gustavo Adolfo Alberto
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Bernardo_José_Berger_Fett,Berger Fett Bernardo José
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alejandro_Javier_Bernales_Maldonado,Bernales Maldonado Alejandro Javier
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mario_Bertolino_Rendic,Bertolino Rendic Mario
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Antonio_Karim_Bianchi_Chelech,Bianchi Chelech Carlos Antonio Karim
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Karim_Antonio_Bianchi_Retamales,Bianchi Retamales Karim Antonio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Bitar_Chacra,Bitar Chacra Sergio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Enrique_Bobadilla_Muñoz,Bobadilla Muñoz Sergio Enrique
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Edgardo_Boeninger_Kausel,Boeninger Kausel Edgardo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Bombal_Otaegui,Bombal Otaegui Carlos
